No.,Mismatch
914,123.96940277292306
915,124.63791813954607
916,125.07113263767442
917,125.02132045369535
918,126.83170783058075
919,121.46306524975185
920,120.10284207728733
921,120.69167526733376
922,120.59745477909392
923,121.45732689695451
924,121.31491988600217
925,121.47944429049372
926,122.18164397814954
927,121.80452202929253
928,121.98142185292583
929,120.9745241684989
930,121.23028776103618
931,121.87617128087896
932,122.5893096824927
933,121.15867127371865
934,121.53872442593767
935,121.2905356427769
936,119.82353795710367
937,121.45695124708146
938,123.3087400591965
939,124.36421129953402
940,121.37993022951281
941,122.31743324619259
942,121.94599318099236
943,121.36313897937035
944,122.32153060358002
945,122.7925350768181
946,123.34677168829822
947,120.86017722827233
948,122.3695912099093
949,121.2088714837878
950,122.33358631910245
951,123.74869467408324
952,123.72543577486815
953,124.718107761167
954,124.28449261339576
955,123.7421583566246
956,123.35636458461795
957,123.19497712649795
958,121.7946613045626
959,123.80729928724617
960,123.6529013263661
961,122.04627343254667
962,124.18519741959402
963,122.45979281790989
964,121.37952329268211
965,122.92528903600308
966,122.00817918165015
967,124.75064630662256
968,124.05805481271345
969,123.26238532138021
970,121.9991909325433
971,120.10503699076165
972,120.18897619433825
973,123.88639733900823
974,123.19811115187579
975,122.68858767316823
976,123.63425559434815
977,124.06280594127352
978,125.85289987056085
979,125.79414127774321
980,125.17870668277232
981,128.1905177120859
982,129.69489765966705
983,130.2964615685946
984,131.00153977180094
985,124.57162294096942
986,126.21456439820943
987,126.60386907055525
988,126.86061105465728
989,127.00815167205832
990,126.96382722569645
991,125.76202872959193
992,129.7976332849282
993,125.24612913979271
994,125.73262556602518
995,124.19449346059332
996,123.71987849104742
997,124.4607771264821
998,124.42279900808954
999,126.5499455843356
1000,124.17886151748448
1001,121.77808201851899
1002,120.94083249568433
1003,119.94453432910218
1004,122.14219422498044
1005,121.48399406651959
1006,122.898284644515
1007,124.02508229418818
1008,123.26957605013993
1009,123.23175286790035
1010,123.08586558596134
1011,122.59466477870221
1012,121.361478170011
1013,121.26851868529218
1014,123.42647845037573
1015,125.13238544385219
1016,122.49102141454047
1017,122.47411821505882
1018,121.73780912791429
1019,122.68402290361945
1020,122.89532360337576
1021,125.61867610131007
1022,128.50497804799545
1023,124.77142627214039
1024,124.38159869856821
1025,121.92252763308946
1026,120.25798186467821
1027,121.22972540084918
1028,121.56775112109871
1029,123.81174991418064
1030,123.20848582375461
1031,123.34172016657828
1032,127.3364950729924
1033,126.32998787126692
1034,128.19417657608903
1035,127.6049683850288
1036,127.36536721813857
1037,126.70151528052635
1038,127.0212229495421
1039,124.47702152191599
1040,124.8860160803289
1041,125.11274868236997
1042,125.97316438458908
1043,124.26969075485508
1044,123.53255800442702
1045,125.26566100142797
1046,122.96079124230747
1047,122.8912208959046
1048,122.75995515435166
1049,122.41837813921794
1050,122.22913289707931
1051,121.68489211383338
1052,122.54368512320931
1053,121.70489917690149
1054,121.63182601492738
1055,121.66215708317584
1056,124.76341113390166
1057,121.3928107004819
1058,124.77908074857066
1059,124.35195678734807
1060,122.653297379891
1061,121.4554352883372
1062,121.17610064574913
1063,121.34256825513933
1064,124.76725074375132
1065,123.35917452748531
1066,123.37858044188108
1067,122.10792746958165
1068,122.20087540635934
1069,126.53596006676106
1070,125.58463050446699
1071,124.86320066228309
1072,122.37328561514282
1073,122.40744794645884
1074,122.90226848068222
1075,124.63143736982684
1076,124.5758412006191
1077,127.4420735877597
1078,127.28552729340004
1079,125.05921173252969
1080,122.34657410277892
1081,129.48393115837092
1082,122.69545126618237
1083,126.29537759973775
1084,123.5852260761344
1085,125.62813348488062
1086,124.70538592850134
1087,125.00238186975689
1088,125.17960519399179
1089,126.05237918165156
1090,127.55651572724292
1091,125.55901094872448
1092,125.81006816807123
1093,129.63024539376528
1094,125.69158349522523
1095,125.04513943626065
1096,123.38029091634138
1097,121.79912006812222
1098,124.47461525056715
1099,123.78980622487447
1100,122.33825710762127
1101,122.98675221577948
1102,121.95114328148475
1103,122.05413194858254
1104,121.80515084879461
1105,123.83331985973959
1106,122.79490407008583
1107,122.71198993968757
1108,121.74999358081031
1109,121.0635010844711
1110,122.03918024143648
1111,123.19752302626222
1112,122.39477421681393
1113,122.97508432921235
1114,121.81956542109977
1115,120.06801011275158
1116,121.16980734670844
1117,120.68861122805116
1118,120.31004224035055
1119,124.98141231657553
1120,125.32025296026961
1121,125.55333499047508
1122,125.34565786582975
1123,125.29773746238745
1124,123.03876948449997
1125,124.53781526712383
1126,127.61109454077665
1127,128.32506299154713
1128,127.54864768663562
1129,128.28429294961902
1130,128.92577000271146
1131,129.17173561492945
1132,127.59628641639388
1133,123.64654447739458
1134,124.98337539999785
1135,126.56245043386441
1136,123.10764413138394
1137,124.43629074115822
1138,124.46047609973692
1139,123.21626554020108
1140,123.79007043241845
1141,123.69526085985802
1142,125.36310966908329
1143,124.5379746420363
1144,123.35896350872386
1145,123.75347624476612
1146,124.98600394035462
1147,128.13386466185594
